comment, channel
"Thank you Dan!", FOX
"Hello Dan, my husband did the same work&#39; not easy!", FOX
"Because they have sold out America Great Istanbul Lands!", FOX
"And they the Government is not Democrats...", FOX
"This is Pelosi Job&#39; They teach them too not go to work&#39; do not lock them up, Let them do what they please!", FOX
"TRUMP IS THE BEST PRESIDENT FOREVER BIDEN IN BAD PRESIDENT GO AWAY", FOX
"The adjoining novel complimentarily dry because congo ethnically curve vice a cagey charles. hallowed, taboo bonsai", FOX
"she was an  american  girl  raised  on   promises  but  she  had   one   littel   promise  she  was   gonna  keep  oh yea all  right  take  easy  babe  make  it  last  all  night   she was  an  american  girl", FOX
"I love a woman that knows she does not need a ton of make up to be beautiful!!!! Right Segundo...", FOX
"のなゃひなさに", FOX
"When the Left come to arrest me for being a Christian, I want them to have enough evidence to throw the book @ me!", FOX
"Has anyone noticed how attractive Republicans and conservatives are?  The tattoo parlors would be nonexistent if the world were transformed in &amp; through Christ Jesus.", FOX
"This is now over a month since the election.  The AP has continued the narrative that Harris/Biden have won their bid for the top leadership position in the history of the world!  Even the thought of this scenario is nauseating &amp; will never happen!<br>Out of Chaos/Order is the Mantra of the “One World Order”.  They are trying to foment civil war to create their OWO.  With this coalition of 1/3 rd of the angels that followed Lucifer, demons &amp; humans that have rebelled against their Creator, Lucifer believes he can defeat God.  Our God laughs @ this deadly misguided hope.  Hell &amp; the Lake of Fire were created for all those in rebellion against The God of gods, King of kings, Lord of lords, Alpha &amp; Omega.  All those who have invited Jesus Christ (God become flesh) (John 1:1) into their hearts, have joined the winning team.<br>Maranatha!!!", FOX
"Our Commander &amp; Chief gives me tremendous relief!!!  12 more years!!!<br>1 Corinthians 15:52 KJV (substitute Trump for trump)<br>God’s anointed &amp; still appointed!<br>May the investigation of Biden exponentially widen!  He’s as guilty as Hell and belongs there as well!!!<br>Maranatha", FOX
"Democrats - “aMeRiCa Is rAsIsT”<br>Republicans - “America is the greatest” <br>I see the clear messaging here.", FOX
"I guess the Corona virus is God&#39;s way of saying &quot;You&#39;re fired&quot;!", FOX
"President Trump 2020", FOX
"American Revival and Resurrection. Yes Jesus,", FOX
"The truth will be exposed how the democrats have had this planned all along and did this same things in 2018 and now in 2020. Mass mail in ballets is unconstitutional if the voters roles are dirty. It is fraud and more lies from Democrats to try and steal this election but just like the bogus Russian which hunt, phony impeachment and now the rigged election.", FOX
"yes, i stand with our president, he is giving us our freedoms back, he has my deepest respect, wish we could keep him forever !!!", FOX
"I am furious.", FOX
"ARE THERE NO DECENT DEMOCRATS   LEFT TO CARE ABOUT  THEIR COUNTRY AND  MANKIND,?  THERE USE TO BE PLEASE IN THE NAME  OF  YOUR COUNTRY  AND GOD, HELP.", FOX
"Very good.   GOD  please help us.  I&#39;m very sad that  my fellow Americans don&#39;t  mind that we are starting  to welcome communism into our culture.  Do they think this is a joke, I don&#39;t  know.? We are about to loose  a President who really cared about us and  the only one who can really help us. You doubters or unbelievers are so foolish for your thoughts  of not believing this is happening.  God be with President Trump and.protect him.  Thank you  President Trump  and some of us appreciate  and love what you have and that you had to endure the harrisment and suffered excoriation.   We really love and will always appreciate  what you have done and what you planned on doing to help society. Let&#39;s  hope  God  rescues  you and  allows you  and rescues so that you have FOUR more years.  Then you can  go back to being  a regular  and happy citizen.", FOX
"HOW, IN GOD&#39;S NAME, AFTER SEEING AND HEARING THIS, COULD ANYONE IN THEIR RIGHT MIND VOTE FOR CHINA, THE CCP, TO TAKEOVER THE UNITED STATES OF AMERICA THROUGH A JOE BIDEN ADMINISTRATION AFTER THE DONALD J. TRUMP ADMINISTRATION SPENT THE MOST TUMULTUOUS 4 YEARS, MOVING FORWARD THROUGH EVERY OBSTACLE THE LEFT, IN OUR OWN COUNTRY, HAS THROWN AT IT TO RETURN AMERICA TO IT&#39;S RIGHTFUL PLACE!!!!!   BY NOVEMBER 3rd, 2020 THESE WORDS MEANT ABSOLUTELY NOTHING TO MILLIONS OF PEOPLE, ESPECIALLY YOUNG PEOPLE IN THE GRIP OF BLM, ANTIFA, CANCEL CULTURE AND THE CONSTANT INFLUENCE OF THE  OBAMA REGIME THAT HAS REFUSED TO ACCEPT IT&#39;S  DEFEAT! WHILE THE VOTES ARE STILL BEING COUNTED, BECAUSE OF MASSIVE VOTER FRAUD MANAGED BY THE JOE BIDEN CAMPAIGN, I PRAY THE GREAT HAND OF GOD COME OVER THE 2020 PRESIDENT ELECTION AND THROUGH THE BREATH OF THE HOLY SPIRIT CAUSE A TRUMP WIN FOR 4 MORE YEARS TO CONTINUE TO MAKE AMERICA GREAT AGAIN AND THAT IT&#39;SLIGHT REMAIN A BEACON OF LIBERTY TO ALL NATIONS!!!!!🇺🇸🗽❤🙏🏻🙏🏼🙏🙏🏽🙏🏾🙏🏿❤🗽🇺🇸", FOX
"Democrats - “aMeRiCa Is rAsIsT”<br>Republicans - “America is the greatest” <br>I see the clear messaging here.", FOX
"We love you Pence! You and Trump are two peas in a pod!!!", FOX
"justice for seal team sis", FOX
"That was the best I have heard and it gives me hope.<br>You have courage and strength and help keep america strong.", FOX
"This convention gets better and better every night.", FOX
"This was so awesome.", FOX
"Geez he’s good! I’m inspired! 🇺🇸Trump!!🇺🇸 Pence 2020!!🇺🇸 Winning!!🇺🇸Winning!!🇺🇸Winning!!🇺🇸💜🙏🏻😊", FOX
"i love u an miss u trump", FOX
"Just get the hell out and stay out.", FOX
"Does anyone else get a 502 bad gateway for vote tim scott .com?", FOX
"Still miss this president...", FOX
"The word &quot;Luck&quot; sounds like big meaning. 👿", FOX
"Somebody wrote that for him, he spoke like that when he was in Office", FOX
"Can&#39;t out-trump the Trump lol", FOX
"Robert Muller should have gone after this Murderous Wallstreet Swamp Tyrant when he had the chance in 2018 but couldn&#39;t because Trump had his presidental shield protecting him from anything well now he&#39;s the one being hunted by the 7 separate serious investigations in different states on tax invasion and bribery to Racketeering and inciting insurrections against his own country it&#39;s time to add another investigation to the list with Robert Muller again and with the help of the attorney general and the Biden administration and mark pomerantz the founding father of RICO and Racketeering who took down John Gotti and the mob they should all team up and fear down Trump&#39;s criminal empire and everyone and everything associated with it for the last 27 years make him the new public Enemy Number One traitor to America and bring him down like Al Capone", FOX
"We all miss your leadership SO MUCH TRUMP!!!", FOX
"Trump 2024!", FOX
"scripted speech. he never cared", FOX
"The same thing will happen as it usually does. A president leaves. The American people are happy. Four years later they miss it.", FOX
"(412) The Hell Of It - YouTube  WE DUMPED THE CHUMP!!!!", FOX
"Trump let a half a million die for bogus conspiracies and lies", FOX
"Trump = Modern Catastrophe Racism hate Divided Nation Bogus Conspiracies Bribery lies Constitutional law breaker Modern American Genocide and Criminal Empire", FOX
"It is so wonderful not to have him in the White House. We must be vigilant and strong and never to permit someone like him again to steal an election like he did in 2016.", FOX
"I&#39;m having a horrible time realizing President Trump isn&#39;t in out White House anymore. He was and still is the ONLY President as farcas I&#39;m concerned. I have a strong stomach, but nothing has made me so sick than to see this... physical wreck in office now. Someone get these left wingers and their stupid evil, screaming, rioting, harassing, zombie supporters the hell out of here! Nightmare come true.", FOX
"Perhaps the best salesman for the conservative America First movement will be a liberal America Last politician like Joe Biden. People will learn. It’s a shame they have to learn the hard way.", FOX
"Trump is the worst president in the US history!  He should be prosecuted as a treasonous criminal, stripped of his privileges, pension, Secret Service protection, and citizenship! He belongs in jail!", FOX
"such strong support for Donald Trump in the comment section", FOX
"Donald The Virus Trumps reputation died today like the audience in CPAC in 2021 how mighty have fallen you can hear a pin drop in that pathetic crowd for Trump the worst ex president to ever step foot on Earth who caused the worst Health Economic Housing Homeless and World Crisis in Modern History and got the whole USA banned from the entire world in the shortest time in history ever seen in are Lifetimes only a half year since memorial day when Trump decided it would be a good idea to open up the country in the middle of a Pandemic when his own CDC and World Health Organization and Fauci told him not to it would be the biggest catastrophic mistake in the next 6 months and change are way of life forever", FOX
"It&#39;s about time finally we have a real President not a pretend one that actually takes care of the people not the stock market.That&#39;s why south Korea had the same to start last year with us then strict lock downs and mask wearing mandatory kept them one of the lowest countries in the world complete opposite to the most powerful and Sophisticated nation on earth with the worst Health Economic Housing Homeless crisis in Modern History and banned from the entire world because the former leader cared more about the stock market and himself than his nation and people and Opened Pandora&#39;s Box on Memorial Day to America and it&#39;s people when his own CDC and World Health Organization and Fauci told him not to open up in the middle of a Pandemic or it would be a modern catastrophe in the next 6 months and change are way of life forever and push are medical care and resources to the breaking point on great depression levels haven&#39;t seen in 120 yearsThat&#39;s why south Korea had the same to start last year with us then strict lock downs and mask wearing mandatory kept them one of the lowest countries in the world complete opposite to the most powerful and Sophisticated nation on earth with the worst Health Economic Housing Homeless crisis in Modern History and banned from the entire world because the former leader cared more about the stock market and himself than his nation and people and Opened Pandora&#39;s Box on Memorial Day to America and it&#39;s people when his own CDC and World Health Organization and Fauci told him not to open up in the middle of a Pandemic or it would be a modern catastrophe in the next 6 months and change are way of life forever and push are medical care and resources to the breaking point on great depression levels haven&#39;t seen are Lifetimes", FOX
"Trump will be indicted within days.", FOX
"😥where ya going? Can&#39;t say I blame you. We treated you so spoiled. Too nice and sugary and we overpaid you too. That&#39;s how losers are made. Or how we lost. So where ya going? <br>     How are you Sir? Im going to miss you as President. Can Melania teach me some fashion now? Id like to ask her if shed have a member only advice for including details like, worldly fashion supermodel nearly impossible to complimented with the beautiful tasteful women in your family circle?<br>   Priceless and leaving me pouty. 😶<br>Said too much . Taking on too big a feat for myself as to have an opinion. <br>    Love your toe shoes classy lady!<br>Peace.", FOX
"Did I vote? Nobody did according to everybody&#39;s. Did you? Was it counted? In your zip code is there a hyphen followed by four digits? If so , your vote entered you in a sweepstakes giveaway starting with your house. <br>    I know census showed up on my doorstep on a Sunday sporting forms stamped April first. Trespassed as to open gate allowing access to my doorstep patronizing me citing patriotic duty. <br>    Everyone of us knows America better hold a re election even as it be total newbies in the running allowing for Leaders Joe Biden and Donald Trump presidents respectively. <br>   In the mix where they belong. Empowering the next generation with positive mentorship. Constructive results. About all of us United under God knowing we are the underdog became top dog still envied. Always coveted. God bless us amen.", FOX
"Greatest president in my lifetime !!!", FOX
"greatest speech ever by this President. HIS FAREWELL SPEECH! SO glad you are GONE - IDIOT!", FOX
"Watching from mexico, US politics are kinda like a drama series to me", FOX
"No one will ever excel president Trump ..", FOX
"He should be back! Democrats are monsters with a big greed for money. They will sell America to everyone outside the country, put money in their pockets,  and put all pressure on us, average Americans!", FOX
"Goodbye and good riddance. Time to deprogram the Republican Party of this man.", FOX
"Is President Trump ok? He hasn&#39;t uploaded any videos for a while.", FOX
"we gonna miss you and hoping for 2024, true Patriots love you!", FOX
"So angry that Biden is now undoing all the good President Trump did.", FOX
"Thank You. Looking at many gauntlets you dodged I dub thee Ironman", FOX
"Love ya", FOX
"Congratulations we love you", FOX
"The simple weasel chiefly plant because crop demographically unite by a assorted thing. rhetorical, hesitant letter", FOX
"What a filthy dirty human being. They are really mopping the floor with him in this trial. Really puts it all in perspective at once.", FOX
"Verbal diarrhoea...... what lowlife human being would support a treasonous traitor kkklan leader like this SOB....", FOX
"Here We Go Again People Donald The Virus Trump&#39;s leftovers of catastrophic damage and the wrong message still lingering like a skunk stench odor that doesn&#39;t want to go away", FOX
"Thank you President Trump for everything.", FOX
"This man built America. And now the Den O Rats are tearing down every American gain especially to turn working Americans into POVERTY. Those that voted for Biden caused all this carnage.", FOX
"We will see you soon🇺🇸", FOX
"biden", FOX
"eats", FOX
"babies", FOX
"President Biden is not worthy and I will always back Trump President that I like and we need support for him", FOX
"Donald Noell come at me BRO", FOX
"Donald Noell will have his comments HIGHLIGHTED and your pro American replies to him DELETED. Because he is a actor with no will of his own", FOX
"Donald Noell will have his comments HIGHLIGHTED and your pro American replies to him DELETED. Because he is a actor with no will of his own", FOX
"I had alot of fun trolling Donald Noell and Joel Vance in these comments. It made my heart happy.", FOX
"You wonder why extraterrestrials don&#39;t want to make contact.  ha ha   this way exited the presidential doodely dong ladies and gentlemen", FOX
"IF he is not american patriot, I don&#39;t know who is.", FOX
"PSA for the love of the USA: In these comments @ Donald Noell and @ Joel Vance are outsourced schills that will attack you with no strong foundation and have weak spines for patriotism. They will have your comment deleted. LOL hahhahahaha", FOX
"Mr president you did not conclude your term you&#39;re still in turn in my opinion.", FOX
"Happy Donald J Trump Week, Fellow American Patriots!!💜✝️🇺🇸🇺🇸🇺🇸🥳", FOX
"Love this man", FOX
"Best ever", FOX
"Donald Trump was the strongest Republican that’s ever been. Spectacular man.", FOX
"Lock him up!!!", FOX
"<a href='https://www.youtube.com/watch?v=L4gh1TCxqp4&amp;t=10m10s'>10:10</a>", FOX
"And a great big Good Ridenns to the worse menace we ever had in history", FOX
"I would give up everything just to have him back as president.", FOX
"Why is the tRumpTard still here? You&#39;ve been fired, Mr. Loser!", FOX
"It appears the Democrats will not allow a Presidential Library for President Trump so here in Florida we need to build that Library in honor of the greatest president since Abraham Lincoln. And in that Library it can tell the truth in a free state where it&#39;s okay to speak", FOX
"Lmfao... you people are sick!!!", FOX
"It&#39;s to bad Biden has to clean up the worst Health Economic Housing Homeless and World Crisis in Modern History and start to put the shattered pieces of america and the World back together again instead of being able to focus on new projects and new future plans of are Nation and new Modern rail highway to finally jump are Country to the future America we always wanted in the year 2000 on those past new years and where we might have been if JFK  lived and finally took us to what the real America was supposed be in the future and prevented the worst president in us history Donald The Virus Trump from changing history again and causing the worst Health Economic Housing Homeless and World Crisis in Modern History and are way pushed back to Great Depression Levels haven&#39;t seen in 120 years and Mankind&#39;s future now hangs in the balance of healthy decisions or catastrophic mistakes and repeating the past over and over again until planet earth says that&#39;s enough just like every other species that&#39;s now apart of it", FOX
"Donald The Virus Trump is the biggest disgrace and waste of humanity this planet has ever seen in are Lifetimes and will go down in history as the Biggest Failure to America and it&#39;s People", FOX
"When is “Luck” ever an IMPORTANT word!! He is so dumb that he doesn’t even know what he’s reading let alone understand it.. he uses luck incase things were to improve, he can blame it on that... very poor eiquette for a president.", FOX
"What a joke", FOX
"Adios. 😂", FOX
"Fox news betrayed the country ! They joined the MSM destroying the country. Love to Trump our true President we love you !", FOX
"Made up virus numbers ,election numbers, made up riots ! But no one will do anything about it . Sad!", FOX
"Its so sad how bad trump got treated for 4 years. First the russian collusion hoax for 3 years then the Ukraine hoax. We&#39;ll miss u trump cant wait to vote for u in 2024", FOX
"Fox usurrps our free speech with their media for profit platforms! let&#39;s suit them.", FOX
"🤔👍🤔......", FOX
"Trump sure pardoned an awful lot of black folks for a racist. The man never was a racist and never will be one. He was unfairly treated by those who have been deceived. He truly is an honor, a legend, and a great man. Thank you Mr. President Donald J. Trump for fighting for us patriots!!! God bless you.", FOX
"Trump the sore loser", FOX
"That&#39;s right wwe&#39;re not going to forget this  is not going to go away Trump 2024!", FOX
"Your so boring 🤣😂🤪🤣", FOX
"We can  look  beyond  politics,  beyond  left  wing and  right  wing and  understand  what  God  spoke  to Joshua.      <br>Joshua <a href='https://www.youtube.com/watch?v=L4gh1TCxqp4&amp;t=5m13s'>5:13</a>          God  told  Joshua  he  did  not   take   sides,  HE IS  CAPTAIN of  the  hosts of the lord  god  Almighty.     One  SOVEREIGN JUST  GOD.       <br>  TREE  of LIFE  in  the  MIDST of the garden.        Not left or right but  in  the MIDST.       DWELLING  BETWEEN THE  2  CHERUBIM.", FOX
"People  were  looking  every  day   to   accuse  Trump  of  whatever  they   could.       Every day.", FOX
"GOD BLES PRESIDENT TRHUM GOD IS GREAT HALUJA AMEN HALUJA AMEN", FOX
"We NEED you President Trump. We still LOVE YOU and will be waiting until you come back. We were horrified by the illegal Election!!!<br>You are amazing, strong, transparent and  100% Righteous!! America will never be America again without you. You are the BEST PRESIDENT AMERICA HAS EVER HAD. THANK YOU!! PLEASE COME BACK!?", FOX
"If you don&#39;t like the new president, leave 🤷🏾‍♀️", FOX
"Has to be one of the few presidents in our history that loved his country and people so much and work harder to drag us back up to a country to be proud of and love. I will miss him so much, let’s hope he makes a come back ❤️", FOX
"A farewell address from a disgusting, racist, pathetic loser Trump who ruled for only 4 years, got impeached twice and banned from social media platforms. This worst President brainwashed some of his supporters with his incessant lies and they&#39;re ready to die for him just like those brainwashed by ISIS leaders are ready to die for ISIS.", FOX
"Thank You President Trump For All Your Honest Work &amp; Giving Up Your Successful Career To Serve Our Country! :))", FOX
"Hmm... I searched “pathetic loser” and this video came up", FOX
"Well... We now replace the guy who&#39;s presidency saw the most human trafficking ring BUSTS, with a guy who everyone knows is a chomo", FOX
"Look at all those likes, CNN will probably run a story about those dreaded Russian bots lol", FOX
"God Bless You God bless the USA", FOX
"Usually I think his speeches are tacky and terrible. But this speech was absolutely amazing, really made me feel proud of this country.", FOX
"The only American president I respect 👏👏", FOX
"For any democrat reading this: YOU NEED TO GET THIS: The people you voted for DONT CARE ABOUT YOU!!!!! They pretend to...but they only USE you to line their pockets with MONEY...do you get it yet??? They pretend to do what you think makes your life better....but when it comes to doing favors...covering up the truth...telling lies...THAT is what they WILL do because its ALL ABOUT THEM....NOT YOU...and it never was ABOUT YOU!!!", FOX
"Donald Trump Donald Trump  Donald Trump   Donald Trump  Donald Trump  Donald Trump  Donald Trump Donald Trump  Donald Trump  Donald Trump  Donald Trump Donald Trump", FOX
"A great speech from great president. You will always have my vote..god bless you and your great family. Truth rule&#39;s   .lies are a bad disease.", FOX
"Inbred tears  🥴💧", FOX
"Look how fast a new President can put AMERICA down the toilet.  TRUMP IS THE ONLY PRESIDENT THAT HAS TRULY CARED ABOUT OUR NATION AND CARED AND PROTECTED &quot;WE YHE PEOPLE&quot; ... GOD BLESS HIM!!!   THIS NEW PRESIDENT IS TRASHING OUR COUNTRY!!!   WHAT ARE WE GOING TO DO AMERICA???", FOX
"That&#39;s my president!", FOX
"I miss you Trump! Our country is in danger", FOX
"Put them on a bus take him to the border and say walk easy fix. <br>If they don&#39;t want to deport them put them on a bus take them to DC and drop them off if you did that with all of them watch how fast they shut the border down", FOX
"I think it&#39;s funny they beat on this man for 4 years saying he was a piece of crap and could not do his job as soon as they walked in the office they realized it was actually work and a job and they all just threw their hands in the air said let&#39;s just collect a paycheck we don&#39;t need to do anything", FOX
"I love how he thinks telling people not to come here is better than a wall.", FOX
"☣Trump 2024 is like UNITED STATES getting Syphilis and genital warts the second time☣", FOX
"When a jewelry store is robbed of its diamonds. <br>The diamonds MUST be returned.", FOX
"Trump is finished... he&#39;ll be whining about losing the election for the rest of his life... with fewer &amp; fewer listening.🤣🤣", FOX
"Don&#39;t sorry, we&#39;ll take care of them.", FOX
"Why he didn&#39;t recommend it  the vaccine very openly before elections, lots of Democrats would have voted for him, I don&#39;t get it, why he didn&#39;t recommend &quot; wearing a mask&quot; the whole country would have  voted for him, it makes no sense the way he handled covid and that is why he lost the elections.", FOX
"A country that can’t control it’s own borders isn’t a country.", FOX
"FOX doesn&#39;t just have more intelligent reporters to CNN, <br>FOX also has the more attractive ones 😊", FOX
"President Trump&#39;s Achievements should be registered in the U.S. Culture and History . He is the President of the Century", FOX
"Donald Trump &amp; JFK were the greatest presidents America 🇺🇸 has ever seen. They both stood tall and told the truth..no matter what &amp; both were ridiculed for it🤷🏾‍♂️?", FOX
"Oh I sure hope Trump does! I’ll vote for him again. I doubt Biden can rig another election.", FOX
"TRUMP WON&#39;T BE ABLE TO RUN IN 2024. HE WILL BE IN PRISON !", FOX
"How &#39;bout dat!!!", FOX
"Kaylee 2024 move it girl", FOX
"Don&#39;t see any potential there", FOX
"Baw haw haw haw!!!! Trump hasn’t got a prayer!  He’ll be lucky if he’s not in prison (where he belongs).", FOX
"What do you think open boarders mean that what you guys campaigned the whole spring and summer that was one of bidens policies he avicated for!!! That wasn&#39;t trump!!! We all know these democrats lie constantly!!!! Lies after  lies after lies!!!!!", FOX
"Biden&#39;s human trafficking business is booming", FOX
"Thanks joe we can barely help are own kid.", FOX
"I hopes so because it&#39;s gonna take someone like him to save the country AGAIN", FOX
"What a disaster!", FOX
"Why isn&#39;t anyone doing anything about this craziness", FOX
"Why would trump even tease running again? He just gonna call it rigged again like the last 2 times", FOX
"Al of thrones please tweny tweny for you can Back Sur Carolina troom troom number one", FOX
"Queremos a Trump 2024 troncomovil Trump President", FOX
"Trump steal money from his donor and will do it again", FOX
"I will turn 18 before, so I can vote for the first time, and I will be happy to vote for him!<br>                          TRUMP<br>                       🇺🇸2024🇺🇸", FOX
"Biden is a idiot and is to incoherent, incompetent to be Commander amd Chief of any government. He forgets his responses to questions and his own statements. Tripping over his own feet on Air Force 1. It&#39;s a disgrace. We need Donald Trump back in 2024. I think Joe Niden will be called to step down and Kamala Harris will be sworn in because of Biden&#39;s incompetence.", FOX
"trump had it all figured out, really low imigration numbers and nope lets just stop the wall for no reason. hiden Biden sucks", FOX
"I think Trump should assist the administration. For the sake of the people.<br>He is above the political nonsense.", FOX
"How can a candidate run for public office who has been impeached? Why is this even allowed? There should be restrictions in place to stop those who obviously lie and corrupt the general welfare of the American people as we witnessed from 2016 to 2020.", FOX
"I dont know why people still think that we should listen to anything Trump has to say.", FOX
"The kids come alone without their parents", FOX
"In 2020 alone, Jeff Bezos has added $85 BILLION to his wealth, Elon Musk is $74 BILLION richer and Apple has added almost $1 TRILLION to its market cap. While a majority of the population have lost their small businesses, are in poverty and can’t pay rent due to lockdowns. It’s going to get MUCH WORSE with a left-wing government, WAKE UP!! 😴🤬", FOX
"heres the issue. trumps gonna be 78.", FOX
"Why does the black guy look like black version of Jesse Waters.", FOX
"God Republi-cons are stupid people", FOX
"I could go grab a Mexican wife as they migrate !😊👧👧👧👣", FOX
"Don&#39;t take the evil VAX", FOX
"Every time Biden speaks I get the creeps and wonder how did someone so out of touch and with no clue on how to connect to people become president.", FOX
"Biden and Harris are  weakening America as the World Watches!<br>Joe, they come because you told them very, plainly to get her in a month and they can come in. He treats Americans as if children, when he&#39;s in serious trouble. It&#39;s sad his family and party are using him to achieve Leftist schemes.", FOX
"Worst One Term President Ever. Lost HOUSE AND SENATE ALL ON HIS WATCH!!!", FOX
"great, run mr. former president out there again.  he&#39;ll lose by 10 million.  americans will NEVER forget Jan. 6th 2021", FOX
"ROFLMAO! This oversized Oompa Loompa won’t win again.", FOX
"Trump 2024", FOX
"WAIT !! TRUMPS??  BIDEN ACCESSOR?? I THOUGHT BIDEN WAS PRESIDENT", FOX
"Your doing this all WRONG!  Go down, rent a 26 foot Jumbo Hauler UHaul and pack them up in that. God knows Uhaul&#39;s are in desperate need in California.   Drive the 140 miles west to &quot;Slab City&quot; California.  Drop them off there! That place needs to be cleaned up anyway and they can be made useful and start doing work for a change.  You want the benefits of being an American? YOU GOT IT! PROBLEMS ARE  SOLVED!  Wake Up People!!", FOX
"What in the world", FOX
"The democrats really got played by Joe Biden, hes literally saying against hes own policies.", FOX
"Democrats are more stupid than ever", FOX
"Get rid of them", FOX
"Wow I can&#39;t believe that people can be so stupid Biden you are not helping anything!", FOX
"G*damned Fox News...The Abandoned Overseas Children of American Servicemen are watching! Lachie Murdoch recently flew down under...Oz !", FOX
"Mr President Trump needs to be back in the white house because joe Biden needs to be removed from the white house soon as possible", FOX
"Biden is destroying our country, we must defeat him in 2024", FOX
"Joe Biden is just letting thousands of illegal immigrants in to the United States what a disgrace.", FOX
"I can’t wait to see Harris and Trump go at it in 24!", FOX
"Trump for 2024. 😂😂😂 joke.", FOX
"Bring back trump", FOX
"President Trump? Or Former President Trump.", FOX
"Trump has my vote in 2024", FOX
"Trump has my vote in 2024", FOX
"more kids in &quot;cages&quot; than ever...interesting", FOX
"The  freezing winter immunocytochemically trouble because freon regrettably snatch apud a inquisitive sweater. harmonious, coherent manicure", FOX
"Biden is a joke", FOX
"We need Trump", FOX
"RUN IT BACK BABY", FOX
"Please just let Ron Desantis be the nominee, we are trying to win here.", FOX
"THEY BLAME EVERYTHING ON TRUMP! I HATE THEM!", FOX
"Joe Biden is a sick sorry joke. Pathetic loser.", FOX
"I like it how they ignore the fact that it was already increasing under trump", FOX
"TRUMP 2024-EVER!!", FOX
"LMAO !!! Watching these news station is like watching 80&#39;s movies and their depictions of News in future 😂🤣😂", FOX
"Why isn&#39;t the wall that trump built keeping everyone out.  In the words of Sidney Powell..........&quot;A reasonable wouldn&#39;t believe this&quot;", FOX
"Sit there and watch .. I am going to the border with a rifle...", FOX
"CHUMP SAID EVERYTHING IS BEAUTIFUL AND HUGELY AND BIGGLY GREAT SO ITS HIS FAULT BECAUSE ALL THE IMMIGRANTS HEARD HIM!!!!!!", FOX
"John 3:16For God so loved the world that he gave his only begotten Son so that whoever believes in him should not perish but have eternal life.", FOX
"It&#39;s the dog and pony show where they hate on Trump 24/7 while Trump has the masses fooled like he&#39;s on their side or something. It&#39;s great acting though isn&#39;t it? All the worlds a stage.", FOX
"Can he just go away? It&#39;s bad enough we have biden, we dont need a rerun of 2016/2020.", FOX
".......does &#39;Joe Biden&#39;,...realize that he is.......&quot;Joe Biden&quot;??", FOX
"We need him", FOX
"Bus every one of them to Washington DC and let them off in front of the White House.", FOX
"The slow violin spatially excite because helen essentially nail out a inconclusive field. determined, descriptive diploma", FOX
"Here&#39;s the deal china joe you suck", FOX
"Will he run in 2024? What&#39;s the point, he ran &amp; won in 2020!", FOX
"He should run for Congress in 2022, if House and Senate flip to GOP majority, make Trump Speaker of the House, then impeach Biden and Harris =&gt; Trump becomes president.", FOX
"We are  in for along  4 years<br>We may not make it", FOX
"😡U N R E A L 😡", FOX
"This is not o.k.", FOX
"Donald trump is out of control he is persistent when it comes to power . If Donald trump runs again for sure he will not win.", FOX
"Biden is destroying the border and himself!!  He will demise himself in due course!!   Trump will take over the power!!", FOX
"DISASTROUS", FOX
"We will proccess all imagrants at the southern border, we will give them citizenship, and move them into the Whitest neighborhoods..... these are your new next door neighbors, you trumptard racists...!! Enjoy..!!", FOX
"Trumpy&#39;s next term will be 5 to 15 years..... in federal prison.", FOX
"Well the thing is I rather have the kids than the parents. Back in their country ppl are getting killed. They rather send they kids off than they.", FOX
"If Trump decides to run for sure, I hope he gets the best security going.  I would trust Pelosi or the rest of them.  I’d hate to have something happen to him, cuz if it does you know who will be behind it all.", FOX
"F*CK this guy", FOX
"Bill Barr let all patriots down in several ways, several times. He could have been great. What happened, Bill?!", FOX
"Who?", FOX
"do what he wants and your a great wonderful honest person BUT cross his path and you&#39;re a snake a thug and he hardly knows you other than you&#39;re a bad bad bad person.", FOX
"Liar. Trump had nothing to do with Pfizer. Pfizer &amp; Russia developed vax before Moderna &amp; had nothing to do with OWS.", FOX
"We love Biden because he&#39;s half black.  Kamala is half black.. Biden isn&#39;t Racist at all because he loves us.  Trump is a Racist bigot.. He&#39;s a sore loser.   21 Biden and Harris 2/20/21 ( You all agree?)", FOX
"This guy is a big baby 👶 <br>Still crying 😭<br>Can’t get over his lose<br>Move on take some tissue with you😂😂", FOX
"Free speech is our most sacred right and must be defended. The left, the media and big tech are the problem! 👁❌", FOX
"Shhhhh", FOX
"President Trump has to make things get going right now, or the American people will not see another Republican president for a long time..", FOX
"Grasping at straws.", FOX
"Phizer ring a bell .. the company you had nothing to do with ..FFS.", FOX
"I’m so tired of listen to that egomania demon that always praise the demonic <br>Manipulation , he was against the science <br>And now he wanted to get credit for , he is such of cruel manic , master of Extortion<br>And so cavalier of fabricating conspiracy theory. His children are the one that should be investigated for Treason and lock them up for live.", FOX
"tRump 🍄", FOX
"Fox news is a joke, everyone knows they are a joke.", FOX
